dataset,method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
metaworld-5,cosine_jepa,0.0,none,none,nll,brightness,latent_mse,30,0.0573103894709824,0.0034212781374054,0.000624637070452,0.0632110911000618,-9.33491500682804,-22.64904236492011,5.497618050650547e-20,0.0,1.718092931245674e-06
metaworld-5,cosine_jepa,0.0,none,none,nll,brightness,decision_kl,30,312.68852613227483,370.93580522785,67.72330263654538,386.5413928333798,-19.106069381019577,-2.437659167062745,0.021147054997347,161.0,0.1459994912147522
metaworld-5,cosine_jepa,0.0,none,none,nll,brightness,action_mse,30,0.0784825044912742,0.0290570780757163,0.0053050723724195,0.0849182889444727,-7.578796668179221,-2.439874095870232,0.0210403290920205,131.0,0.0364349968731403
metaworld-5,cosine_jepa,0.0,none,none,nll,brightness,nll,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,brightness,uncertainty,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,clean,latent_mse,30,0.0104565092507977,0.004748584390759,0.0008669689290118,0.0051731863312976,102.1289893916271,7.94111105631331,9.302030087506271e-09,0.0,1.718092931245674e-06
metaworld-5,cosine_jepa,0.0,none,none,nll,clean,decision_kl,30,0.7458683363952648,0.532261272218902,0.0971771684268968,0.913281673561569,-18.330964259190072,-2.065768659410636,0.0478875921444179,150.0,0.0919496268033981
metaworld-5,cosine_jepa,0.0,none,none,nll,clean,action_mse,30,0.0009880026227105,0.0007992196072238,0.0001459168690923,0.0031221558634152,-68.35511531350059,-5.948907944029731,1.832627104935636e-06,0.0,1.862645149230957e-09
metaworld-5,cosine_jepa,0.0,none,none,nll,clean,nll,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,clean,uncertainty,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,desaturation,latent_mse,30,0.2185812500660612,0.0263495481252792,0.0048107472960944,0.2531476701503568,-13.654646737915812,-21.47710923864248,2.35976493964696e-19,0.0,1.718092931245674e-06
metaworld-5,cosine_jepa,0.0,none,none,nll,desaturation,decision_kl,30,3897.275463024488,6764.901549305907,1235.0963926188306,4263.651750858989,-8.59301625093296,-1.87567266856492,0.0708002571717063,102.0,0.0061949919909238
metaworld-5,cosine_jepa,0.0,none,none,nll,desaturation,action_mse,30,0.3380133759786414,0.3152216068577461,0.0575513282296709,0.3626992272842118,-6.8061494066064006,-4.3905844811579655,0.000137328121316,62.0,0.0002091266214847
metaworld-5,cosine_jepa,0.0,none,none,nll,desaturation,nll,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,desaturation,uncertainty,30,,,,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,latent_mse,30,0.2130041308771411,0.0263847977291173,0.0048171829638162,0.2879303010895259,-26.02232899033714,-25.506534312021017,2.0563511847275108e-21,0.0,1.718092931245674e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,decision_kl,30,486.4418838025711,349.2440083262777,63.76294047794145,480.4122985604141,1.2550855297054166,0.2937567186008004,0.7710359909454867,210.0,0.6554384250193834
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,action_mse,30,0.1343869457762929,0.0653859523475191,0.011937787014898,0.1469496687375253,-8.548997128854662,-3.987857651784568,0.000413470891748,63.0,0.0002316366881132
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,nll,30,56.72697854218146,20.498748130358894,3.7425422505381394,,,,,,
